0.01 1400 0.0152376
0.01 1300 0.0190455
0.01 1200 0.0733203
0.01 1100 0.0642776
0.01 1000 0.0298831
0.01 900 0.0180336
0.01 800 0.00968716
0.01 700 0.0397487
0.01 600 0.158256
0.02 1400 0.0155718
0.02 1300 0.0248095
0.02 1200 0.0304143
0.02 1100 0.0313742
0.02 1000 0.0265822
0.02 900 0.0295579
0.02 800 0.0266219
0.02 700 0.0368569
0.02 600 0.130717
0.03 1400 0.0091499
0.03 1300 0.0117491
0.03 1200 0.0155764
0.03 1100 0.025272
0.03 1000 0.0067459
0.03 900 0.0146822
0.03 800 0.0135232
0.03 700 0.0456633
0.03 600 0.0731991
0.04 1400 0.00938527
0.04 1300 0.012853
0.04 1200 0.0121617
0.04 1100 0.00984655
0.04 1000 0.0116233
0.04 900 0.0237261
0.04 800 0.0199153
0.04 700 0.0297768
0.04 600 0.239984
0.05 1400 0.00507189
0.05 1300 0.00705954
0.05 1200 0.00711386
0.05 1100 0.0116905
0.05 1000 0.0179251
0.05 900 0.00775776
0.05 800 0.032589
0.05 700 0.079623
0.05 600 0.0962571
0.06 1400 0.00671392
0.06 1300 0.0125074
0.06 1200 0.00534491
0.06 1100 0.00888432
0.06 1000 0.015322
0.06 900 0.0367545
0.06 800 0.0860638
0.06 700 0.284737
0.06 600 0.353023
0.07 1400 0.0094475
0.07 1300 0.0103022
0.07 1200 0.0066928
0.07 1100 0.00859416
0.07 1000 0.0283936
0.07 900 0.185629
0.07 800 0.499132
0.07 700 0.70535
0.07 600 0.625942
0.08 1400 0.00966525
0.08 1300 0.0201878
0.08 1200 0.0691905
0.08 1100 0.728181
0.08 1000 0.808196
0.08 900 0.851978
0.08 800 0.888715
0.08 700 0.92154
0.08 600 0.91501
0.09 1400 0.0110741
0.09 1300 0.76274
0.09 1200 0.82375
0.09 1100 0.874815
0.09 1000 0.899404
0.09 900 0.936425
0.09 800 0.955794
0.09 700 0.966817
0.09 600 0.958912
0.1 1400 0.772929
0.1 1300 0.841179
0.1 1200 0.885482
0.1 1100 0.922403
0.1 1000 0.867929
0.1 900 0.968297
0.1 800 0.976747
0.1 700 0.984174
0.1 600 0.980993
0.11 1400 0.849069
0.11 1300 0.882506
0.11 1200 0.919534
0.11 1100 0.887528
0.11 1000 0.675451
0.11 900 0.83451
0.11 800 0.987167
0.11 700 0.988376
0.11 600 0.990565
