0.01 100 0.984136
0.01 200 0.305829
0.01 300 0.0536954
0.01 400 0.0415917
0.01 500 0.0605279
0.01 600 0.115556
0.01 700 0.075737
0.01 800 0.0576844
0.01 900 0.0695797
0.01 1000 0.0628547
0.01 1100 0.0384613
0.01 1200 0.0829178
0.01 1300 0.0467977
0.01 1400 0.052966
0.02 100 0.999911
0.02 200 0.961894
0.02 300 0.0933526
0.02 400 0.118608
0.02 500 0.083003
0.02 600 0.0603133
0.02 700 0.0702128
0.02 800 0.0697222
0.02 900 0.0669097
0.02 1000 0.0552143
0.02 1100 0.0336116
0.02 1200 0.0475453
0.02 1300 0.0473843
0.02 1400 0.0461778
0.03 100 0.998279
0.03 200 0.986168
0.03 300 0.315885
0.03 400 0.120615
0.03 500 0.120353
0.03 600 0.0819643
0.03 700 0.054068
0.03 800 0.0457619
0.03 900 0.0572234
0.03 1000 0.0712777
0.03 1100 0.105942
0.03 1200 0.0307821
0.03 1300 0.0628949
0.03 1400 0.0390074
0.04 100 0.999578
0.04 200 0.988208
0.04 300 0.858629
0.04 400 0.108377
0.04 500 0.079861
0.04 600 0.0611587
0.04 700 0.0744471
0.04 800 0.0726753
0.04 900 0.0427339
0.04 1000 0.0689153
0.04 1100 0.0557205
0.04 1200 0.076328
0.04 1300 0.0428536
0.04 1400 0.0663112
0.05 100 0.996857
0.05 200 0.992321
0.05 300 0.951431
0.05 400 0.34984
0.05 500 0.0802784
0.05 600 0.0606838
0.05 700 0.0359425
0.05 800 0.0512763
0.05 900 0.0639684
0.05 1000 0.030066
0.05 1100 0.0437331
0.05 1200 0.0371358
0.05 1300 0.0616251
0.05 1400 0.0294573
0.06 100 0.999528
0.06 200 0.995305
0.06 300 0.979941
0.06 400 0.75374
0.06 500 0.141606
0.06 600 0.101312
0.06 700 0.0391017
0.06 800 0.0661195
0.06 900 0.0375779
0.06 1000 0.0812116
0.06 1100 0.051101
0.06 1200 0.07725
0.06 1300 0.0398459
0.06 1400 0.0309681
0.07 100 0.981167
0.07 200 0.9685
0.07 300 0.932635
0.07 400 0.943611
0.07 500 0.197524
0.07 600 0.0411318
0.07 700 0.0658147
0.07 800 0.0872943
0.07 900 0.101389
0.07 1000 0.0503985
0.07 1100 0.042417
0.07 1200 0.0710455
0.07 1300 0.0538109
0.07 1400 0.0423686
0.08 100 0.97143
0.08 200 0.996965
0.08 300 0.878038
0.08 400 0.978439
0.08 500 0.880324
0.08 600 0.131807
0.08 700 0.0848773
0.08 800 0.0284784
0.08 900 0.0596336
0.08 1000 0.0501108
0.08 1100 0.0428221
0.08 1200 0.0320499
0.08 1300 0.048397
0.08 1400 0.0542551
0.09 100 0.938376
0.09 200 0.940324
0.09 300 0.992874
0.09 400 0.977417
0.09 500 0.974889
0.09 600 0.378671
0.09 700 0.0805689
0.09 800 0.0280904
0.09 900 0.0592093
0.09 1000 0.0646359
0.09 1100 0.033576
0.09 1200 0.052823
0.09 1300 0.0616817
0.09 1400 0.0489796
0.1 100 0.97286
0.1 200 0.99491
0.1 300 0.991838
0.1 400 0.993473
0.1 500 0.976288
0.1 600 0.867953
0.1 700 0.257238
0.1 800 0.0469414
0.1 900 0.0913164
0.1 1000 0.0708116
0.1 1100 0.120469
0.1 1200 0.0527535
0.1 1300 0.0237991
0.1 1400 0.0597219
0.11 100 0.998765
0.11 200 0.98496
0.11 300 0.995537
0.11 400 0.992814
0.11 500 0.98383
0.11 600 0.967418
0.11 700 0.763914
0.11 800 0.0963178
0.11 900 0.0376
0.11 1000 0.0634358
0.11 1100 0.0510587
0.11 1200 0.0590271
0.11 1300 0.0454471
0.11 1400 0.0408149
